msme_id,business_name,nic_code,district,state,district_tier,vintage_years,employee_count,monthly_revenue_series,gst_filing_dates,upi_inflow_series,epfo_contribution_series,cash_balance,receivables_outstanding,top_customer_concentration,network_node_count,climate_zone,past_climate_event,climate_recovery,ondc_seller,electricity_consumption_series,skill_certificates,whatsapp_active,good_borrower
MSME_100010,Kiran Diagnostics 89,62,nashik,Maharashtra,Tier 2,9.9,43,"1333941.99,1440365.93,1479985.06,1524320.08,1587076.13,1377745.75,1359040.98,1219880.7,1165218.94,1244448.16,1291911.05,1402200.02,1568341.97,1583694.74,1703635.13,1626178.6,1621896.04,1489011.35,1397851.68,1346564.58,1224186.11,1447546.13,1333269.16,1440220.55","1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1","1101165.84,1169354.24,1377312.49,1361151.61,1326993.19,1290843.54,1116408.21,1060286.74,976566.03,1043219.66,1035349.94,1290998.49,1466684.26,1427925.11,1403278.03,1408692.61,1381587.56,1322444.22,1252252.57,1162955.57,1025273.9,1341579.37,1106456.81,1235282.91","79025.38,0.0,77656.7,0.0,77030.93,77046.71,74654.1,71348.61,74982.97,72170.65,78341.91,74150.59",2516694.6727652564,1080263.6699689967,0.29662466908472157,86,VERY_HIGH,0,0,1,,,0,0
MSME_100011,Apex Textiles 49,29,bengaluru,Karnataka,Tier 1,8.9,94,"230618.57,257449.44,283274.53,276086.18,268347.61,269766.98,251541.46,225775.0,216364.33,224600.95,216746.16,236044.71,267636.62,295303.54,315850.9,335032.9,314587.61,281161.19,262963.55,235148.75,241548.16,244766.76,270492.9,278855.13","1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1","193643.21,210732.23,242281.26,251887.71,225230.65,231231.8,225326.41,193200.42,194993.05,195564.88,193539.59,222230.28,227277.27,263266.75,283364.96,299958.5,273578.01,254496.31,235979.79,192234.43,194881.54,197179.65,256803.01,227941.22","196502.89,0.0,206207.61,190487.84,195376.36,198138.52,0.0,187687.11,0.0,193675.4,0.0,191649.97",267156.8665179753,95220.69031255612,0.3038802271302657,92,LOW,0,0,0,,,1,0
MSME_100012,Priya Agro Industries 94,17,bangalore,Karnataka,Tier 1,1.2,43,"405143.93,416826.39,455298.87,471730.51,480895.6,442544.97,431342.55,345279.07,354554.72,339836.83,389000.05,361708.16,390640.54,420819.13,399800.32,432401.09,408758.36,398082.99,369386.51,369821.57,342394.27,322789.44,336850.85,390951.18","1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","353057.37,382105.82,399290.6,385101.02,421060.55,416794.32,347879.82,316788.04,329752.6,298450.71,337926.82,341670.95,316076.56,366890.02,343925.26,390421.27,357066.91,372786.86,299581.18,300338.97,305157.05,261411.78,283376.59,349886.26","73302.18,85669.89,83111.27,76641.86,71760.38,83795.77,78033.5,83340.35,72226.2,76130.94,78503.55,78667.33",305795.8123233821,71648.3852756152,0.34873480438267057,90,LOW,0,0,1,,,0,0
MSME_100013,Suresh Agro Industries 57,15,bastar,Chhattisgarh,Rural,1.4,72,"844988.15,966217.19,937672.74,1003319.86,998094.97,965994.98,906401.18,767578.11,716052.37,824174.99,826317.09,847636.2,1034361.32,1035042.09,1132224.93,1073171.62,1137367.88,1050933.22,883635.63,880046.41,843848.55,894811.43,852146.84,1009342.35","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","763886.76,777170.01,788573.92,917396.98,936443.27,823659.01,749784.88,630555.99,643445.87,667942.58,752894.98,801670.2,841725.65,910394.46,969670.45,931563.26,936749.14,889873.09,749903.95,828309.46,750547.22,834412.85,701604.01,921696.49","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",760818.2983853677,705414.1450888249,0.33992861651790723,32,MEDIUM,0,0,0,"3255.3,3526.6,3714.8,3648.5,3401.5,3384.9,2964.7,2610.1,2665.8,2773.7,2600.0,3158.1",,1,1
MSME_100014,Suresh Hub 39,45,bastar,Chhattisgarh,Rural,12.6,46,"162686.3,153181.64,167496.47,163540.49,176857.27,176742.17,170924.92,148657.66,153117.1,132000.28,136427.18,161506.83,180367.03,189860.46,177569.8,197684.62,179355.26,186215.03,170309.15,149826.54,149519.07,149214.6,168268.63,193167.95","0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0","132931.63,134262.61,156758.0,139402.94,160782.16,163105.15,157636.46,124194.6,125857.15,109506.21,121469.28,147622.46,162028.46,156933.32,162641.01,172799.6,163781.28,170197.11,147715.22,140630.66,132275.6,133591.05,150378.02,179576.08","72201.04,77858.01,73930.55,72933.34,75537.62,72013.02,73841.72,71395.46,0.0,83404.5,0.0,0.0",174596.63941390824,120811.21934298179,0.6042724580857509,119,MEDIUM,0,0,1,,,1,0
MSME_100015,Raja Kitchen 23,23,chennai,Tamil Nadu,Tier 1,7.8,23,"106944.31,111733.57,123773.05,124295.57,121431.32,120197.46,112543.26,98138.84,93410.27,94799.15,89287.99,101082.94,127429.52,138456.82,131325.15,136926.94,130364.14,138855.37,117734.31,103955.22,97080.14,96101.51,112897.19,117255.06","1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1","96926.31,90806.75,109395.36,111433.96,103128.16,98462.04,101899.44,92453.29,88700.02,88814.21,72682.03,91032.1,111663.08,111144.08,111144.4,129077.66,110973.76,127042.03,97578.29,98757.09,79920.43,81145.12,103664.23,102733.43","47827.3,0.0,49824.25,48704.43,55832.26,53758.54,51468.29,55298.84,0.0,51687.99,49271.49,55410.0",146053.01085102788,100880.95575641446,0.59866025160439,34,VERY_HIGH,1,1,0,,,0,1
MSME_100016,Priya Logistics 58,45,wayanad,Kerala,Rural,6.6,21,"1267756.31,1271178.05,1406426.9,1387708.57,1328754.97,1420307.64,1384487.3,1094183.34,1155398.86,1087875.08,1153015.26,1244509.09,1339841.46,1507356.98,1499801.15,1589074.19,1510109.92,1403738.85,1258000.2,1202245.73,1253208.66,1270061.86,1261715.8,1455155.1","0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0","1173785.7,1140874.8,1292094.37,1138809.08,1120182.84,1313023.62,1252145.26,898126.37,1046595.44,943503.42,923320.41,1010396.85,1123307.79,1394673.7,1323305.51,1444603.86,1327636.88,1146402.68,1060764.94,1016105.24,1011542.93,1096030.15,1159623.9,1263899.76","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",240046.52581788987,886312.8322429609,0.21935669409469533,23,VERY_HIGH,0,0,1,"4662.5,5783.5,5593.4,5734.2,6113.8,5256.6,4937.2,4469.5,4205.6,5066.5,4255.9,5279.3",,0,1
MSME_100017,Arjun Agro Industries 84,86,tirupur,Tamil Nadu,Tier 2,2.4,46,"873342.81,837987.92,994818.06,957227.56,1001746.55,890998.43,784761.05,737744.21,769100.83,777819.27,770635.85,904009.33,877198.15,1024055.53,1004609.36,1036678.67,1037324.7,929513.93,883741.05,889177.31,802115.96,882965.12,856278.8,1016975.19","1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1","815198.25,763822.77,929354.68,821298.1,947710.88,779116.19,686374.39,692481.07,675186.99,715727.68,700555.92,733910.08,781029.16,945562.89,885885.79,879291.89,842318.38,835761.19,747622.29,791717.47,692961.94,797727.84,730176.37,820041.27","91360.09,74686.33,81822.25,87676.57,84352.57,86799.14,82644.22,85586.68,84554.41,90193.51,86301.79,86656.21",1288113.9077377936,462090.5343088493,0.31799808118214434,77,LOW,0,0,1,"2862.6,3391.9,3080.4,3221.0,3382.3,2998.1,2829.3,3252.9,2432.1,2772.0,2878.5,3688.4",SIDBI Financial Management|PMKVY Retail Associate,0,0
MSME_100018,Priya Auto Parts 25,15,chennai,Tamil Nadu,Tier 1,7.1,92,"681090.04,729223.27,766533.92,808188.21,755375.97,736856.89,738874.81,643729.02,573825.17,612576.61,589035.8,580242.53,663285.67,673220.42,751862.1,760035.48,786947.14,685825.68,613091.61,600645.08,495602.99,572927.51,623640.3,601246.82","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0","618314.28,640881.04,701665.74,746362.55,612657.2,696961.22,662291.02,558432.46,517599.68,521717.54,548801.13,532105.28,594283.46,556951.53,710464.34,657349.17,737060.07,554361.08,501891.61,494302.26,408723.07,486071.19,565267.46,512204.25","232933.53,224062.28,215758.1,227304.33,245348.63,222336.74,223067.75,215272.56,210970.74,229480.71,210902.0,221121.61",729061.043482558,603921.8270223503,0.06986144152921434,10,VERY_HIGH,1,1,1,"2523.3,2266.9,3011.6,2850.4,3007.6,2447.9,2162.2,2369.5,1807.3,2109.5,2405.1,2081.7",,0,0
MSME_100019,Jaya Diagnostics 54,25,mumbai,Maharashtra,Tier 1,11.5,66,"843750.05,954542.59,996828.25,1046831.49,947420.26,905890.62,807654.75,767792.54,759170.44,768714.32,737724.26,870113.12,965950.72,985180.5,1091763.58,955326.82,894250.31,810258.04,881191.58,790531.68,740135.48,767532.23,760233.83,980967.42","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1","786671.14,857311.93,867826.74,921738.91,878330.45,783268.51,753031.73,698020.32,694320.97,657166.65,634507.22,770521.93,800964.69,869898.07,885452.76,836520.78,817935.54,682203.32,835690.02,713106.85,605298.82,726286.91,653105.9,901739.18","162010.65,161851.07,166811.96,164842.02,162772.54,154608.45,164765.23,176118.14,171799.26,173793.42,156856.07,153005.74",1158787.4351421564,358880.82760441257,0.28546141650617485,111,VERY_HIGH,1,1,0,,NSDC Digital Literacy|SIDBI Financial Management,0,1
MSME_100020,Jaya Textiles 86,31,coimbatore,Tamil Nadu,Tier 2,14.5,100,"883197.89,959912.13,1060457.96,932947.15,1070362.25,930496.84,847714.51,759396.23,695269.88,783439.33,787517.21,790368.93,856070.59,958969.88,1091264.34,988500.98,887587.91,882878.73,811691.63,663834.56,740940.48,747954.36,832218.22,952009.45","1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1","833299.7,834115.19,933170.19,822804.33,964803.43,865499.92,764733.33,699060.59,583786.36,683650.32,743101.72,665372.84,723186.92,902604.35,1033797.32,905146.76,803919.56,797712.7,708891.26,578844.16,655045.58,703206.35,755861.91,802704.29","215828.02,201572.13,193014.87,230608.41,204924.06,204461.39,204072.63,206342.71,202844.31,198458.58,198732.4,203984.48",509576.9064219188,185819.3162526266,0.5686236836819452,35,MEDIUM,0,0,1,,,0,0
MSME_100021,Jaya Kitchen 22,56,mumbai,Maharashtra,Tier 1,0.6,71,"1428083.95,1523137.5,1666098.85,1656823.3,1758576.59,1336918.51,1499511.56,1393395.63,1112972.58,1210278.93,1258866.61,1282594.66,1435153.13,1501179.85,1783296.19,1704816.03,1658143.89,1502842.35,1258645.38,1209889.35,1231173.82,1147957.04,1344348.91,1388173.78","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","1206386.53,1356228.2,1564913.71,1408724.48,1526712.42,1198142.17,1317542.5,1300580.15,912782.19,1059758.84,1058613.11,1181682.78,1219309.85,1365575.1,1600049.67,1547614.48,1330018.16,1278267.85,1062615.94,1090304.09,1020611.32,1023568.06,1204279.68,1194972.69","127350.53,0.0,134396.31,0.0,132665.68,127440.43,137305.85,122767.62,133779.68,133631.51,127774.1,131899.12",1722179.5931848872,791533.1282243531,0.1618017776592942,92,VERY_HIGH,1,1,0,"3656.8,3386.4,4290.9,3784.9,3614.5,3289.9,3107.3,2906.1,2847.3,2726.9,3143.8,3289.8",,1,1
MSME_100022,Sri Hub 67,45,ludhiana,Punjab,Tier 2,1.6,73,"199396.98,241773.05,242585.19,243800.61,259252.58,226087.07,202888.54,187424.36,200095.7,181953.15,222316.28,198778.29,262899.32,263066.47,269677.29,264205.05,267577.18,245805.63,241106.32,215947.13,211094.99,211128.57,229640.71,255316.62","1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","161319.8,225848.13,229951.5,212304.18,218566.41,186973.37,166432.38,167975.1,181965.71,171867.01,190340.34,185599.3,228007.47,246642.51,231012.16,214544.41,252759.2,228890.04,197694.76,200624.17,172632.42,200345.6,197251.91,209130.37","0.0,155867.75,158952.61,176776.15,171898.11,168874.05,170599.07,173404.1,165842.09,163809.19,172110.99,162104.19",453919.8265045425,250114.21563976211,0.21846640590024835,13,MEDIUM,0,0,1,"1037.8,907.8,1072.2,982.6,961.1,879.7,981.1,746.5,801.4,767.1,926.1,1013.4",,0,1
MSME_100023,Kiran Foods 94,45,kolkata,West Bengal,Tier 1,6.5,36,"141213.45,137794.32,168076.75,167580.46,163419.34,161300.93,155367.42,140549.84,116234.36,120124.54,130906.28,147098.41,164849.68,166582.86,181872.82,174018.52,169569.1,152855.58,145705.78,134016.62,133576.13,151909.51,147392.3,191418.57","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","126669.29,129297.08,155818.91,136388.64,148497.15,133649.47,130550.46,126642.54,103499.53,111841.12,108419.79,134485.38,149789.97,147230.52,158576.57,161910.5,144124.35,144227.34,116899.76,126052.54,126137.49,124200.82,140013.22,166886.01","0.0,77627.11,0.0,76458.6,72507.06,78411.17,73577.98,76220.62,85455.86,75394.59,0.0,80111.81",146465.67754314587,90836.1352199294,0.443767309225048,33,LOW,0,0,0,"613.5,636.5,638.4,598.2,587.1,567.3,506.2,495.5,532.2,537.9,567.9,699.0",,0,0
MSME_100024,Singh Foods 27,86,bastar,Chhattisgarh,Rural,7.6,70,"1433724.21,1614638.66,1868865.54,1703407.38,1890495.55,1710335.91,1497805.55,1482979.84,1442813.64,1422359.12,1338589.46,1522005.2,1706415.32,1851867.99,1997991.48,1962411.41,1755887.75,1802383.44,1693626.05,1589763.71,1592739.15,1617711.15,1703586.94,1814281.21","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","1239577.85,1519305.21,1545346.28,1597297.58,1661098.68,1430089.38,1337491.12,1242533.54,1230959.78,1307490.04,1086737.72,1436612.59,1482618.37,1549052.73,1807354.02,1658230.18,1622807.81,1463702.14,1606829.76,1426787.76,1281761.09,1392512.4,1459250.72,1580966.03","0.0,141393.22,157511.5,0.0,0.0,0.0,0.0,155800.42,0.0,156293.02,144355.48,145864.26",1243378.950509147,1193737.6216479365,0.5106764683353249,27,MEDIUM,0,0,0,"8479.9,9501.6,10174.2,9390.2,7850.8,8209.2,7843.0,8284.8,7607.1,8528.2,8041.0,9314.7",NSDC Digital Literacy|UDYAM Registration Cert|NABARD Agri-Business Cert,1,1
MSME_100025,Bharat Enterprises 86,25,tirupur,Tamil Nadu,Tier 2,0.9,35,"1248604.39,1279128.8,1396602.1,1375430.56,1346304.51,1331818.9,1148263.82,1097178.26,1014088.67,1011377.68,1064782.17,1181212.58,1239353.57,1442529.43,1343229.64,1389502.99,1318722.88,1350981.96,1174952.02,1144473.4,978608.74,1094495.52,1202761.93,1256875.07","1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1","1015668.28,1129640.82,1242331.59,1262185.6,1251467.76,1067920.44,989885.53,1005975.72,921529.33,893987.56,1010381.95,987979.64,1088357.77,1302311.82,1108735.68,1167651.95,1108071.43,1110358.86,969430.72,962953.37,826888.02,1004090.18,1027361.64,1183515.48","73574.44,68046.38,74775.45,77882.34,68585.82,68297.1,74929.25,75369.98,68026.92,68385.52,68868.91,65157.38",1610978.5871381455,742707.9217096537,0.17434608992339845,55,LOW,0,0,0,"5053.5,5982.0,5204.3,5535.2,5727.8,5400.4,4428.9,4734.7,4071.2,4511.7,5091.7,5185.6",,0,0
MSME_100026,Kiran Agro Industries 62,56,jodhpur,Rajasthan,Tier 3,2.5,39,"902467.9,915389.27,1119598.0,1261610.4,1203302.52,1284775.08,997901.81,966256.83,829527.92,874659.39,1037719.58,974467.37,1226471.77,1076217.12,1171684.51,1227774.23,1349713.45,994288.86,1089972.39,834950.88,934916.34,1002703.1,1148387.48,1245139.07","1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1","330710.28,330822.91,370451.1,409932.55,408396.33,417175.21,341497.69,342707.97,305170.45,327787.53,345627.62,336755.92,385737.55,386011.74,413557.57,432996.93,505787.37,353689.55,379158.24,308838.83,311207.93,325514.06,364427.52,421495.09","73431.38,72442.65,77370.15,73501.39,77980.59,76355.4,69859.83,81437.15,0.0,82375.85,73272.48,74123.18",248329.9755927931,235775.73911525586,0.17911624260597558,86,HIGH,1,1,0,,,0,0
MSME_100027,Singh Agro Industries 40,22,delhi,Delhi,Tier 1,3.2,89,"258614.24,279856.48,299335.45,324038.52,285383.35,261365.27,234627.68,224730.18,221190.12,240239.05,224457.0,251466.51,269836.81,305570.77,336270.44,289649.94,278803.62,280734.58,254592.87,251339.73,229831.01,223871.52,250020.2,278378.52","1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1","237765.31,233142.68,240936.38,270159.51,240663.94,239700.97,207609.73,205826.36,193385.86,210598.57,198848.05,211277.97,237851.95,289874.83,296357.33,264600.42,254826.68,243173.69,212020.18,217100.52,209237.76,201047.99,209299.35,259232.06","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",69752.41021256709,263750.8402672192,0.13217021854923772,108,HIGH,0,0,0,,,0,1
